No.,Time,Source,Destination,Protocol,Length,Info,Label
25119,2327.671026,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
25124,2327.671396,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
25128,2328.095963,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
25180,2333.107055,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
25181,2333.107249,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
25226,2337.624245,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
25231,2337.62466,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
25235,2337.960065,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
25289,2343.007391,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
25290,2343.007554,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
25339,2347.875221,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
25344,2347.875511,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
25349,2348.242775,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
25399,2353.257347,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
25400,2353.257496,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
25446,2357.937067,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
25451,2357.937415,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
25458,2358.493073,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
25506,2363.50748,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
25507,2363.50768,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
25551,2367.988331,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
25556,2367.988684,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
25563,2368.323358,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
25613,2373.357652,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
25614,2373.357849,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
25663,2378.233871,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
25669,2378.234206,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
25675,2378.559881,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
25727,2383.607994,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
25728,2383.608198,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
25772,2388.158645,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
25777,2388.159055,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
25784,2388.598551,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
25834,2393.608168,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
25835,2393.608368,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
25882,2398.31185,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
25887,2398.312221,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
25895,2399.038217,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
25945,2404.058134,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
25946,2404.058293,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
25991,2408.412013,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
25996,2408.412352,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
26002,2408.747201,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
26055,2413.758331,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
26056,2413.758524,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
26106,2418.597008,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
26111,2418.5973,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
26117,2419.191486,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
26170,2424.208677,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
26171,2424.208877,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
26216,2428.723145,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
26221,2428.723432,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
26230,2429.62381,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
26280,2434.658647,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
26281,2434.658878,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
26326,2438.881712,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
